year,month,자치구코드,시간대구분,male_pop,female_pop
2020,2,11410,6,166809.81484137932,195316.5595
2020,2,11410,7,168514.9729758621,197282.12063448277
2020,2,11410,8,173546.5108448276,203567.26596206895
2020,2,11410,9,175158.7161103448,206875.77525517243
2020,2,11410,10,175858.6955275862,208151.2592103448
2020,2,11410,11,174561.53193793105,208251.39473448278
2020,2,11410,12,173786.8544862069,208023.63619999998
2020,2,11410,13,175175.8665448276,209238.53196206898
2020,2,11410,14,175347.66916206895,209368.00516551724
2020,2,11410,15,174699.05652068966,208335.2294448276
2020,2,11410,16,174094.94941724135,207077.4332275862
2020,2,11410,17,173286.69464827585,205447.41807931036
2020,2,11410,18,170289.15868965516,201439.26102068965
2020,2,11410,19,169906.4011689655,199511.56697241377
2020,2,11410,20,169442.54681034482,198190.1426413793
2020,2,11410,21,168716.19357586207,197412.24888965517
2020,2,11410,22,167810.52073448276,196261.60620689654
2020,2,11410,23,166263.92355172412,193686.43409999998
2020,2,11440,0,205814.3604827586,236719.53857931032
2020,2,11440,1,204396.9551689655,235632.20451724136
2020,2,11440,2,203115.7581413793,234658.68829999998
2020,2,11440,3,202228.56085862068,234048.62072413793
2020,2,11440,4,201772.03378965516,233730.3327586207
2020,2,11440,5,203058.5837551724,233671.61378965518
2020,2,11440,6,204833.65359655174,234081.5651448276
2020,2,11440,7,207482.85586206897,236476.75670000003
2020,2,11440,8,213372.1798586207,243924.16233793105
2020,2,11440,9,218753.70741724136,251022.70397931035
2020,2,11440,10,221693.91175172414,255234.38528275862
2020,2,11440,11,223805.4670551724,258215.07736206896
2020,2,11440,12,226373.54511724136,262345.9120413793
2020,2,11440,13,228797.9328551724,265898.60476206895
2020,2,11440,14,230406.2753551724,268452.1061517241
2020,2,11440,15,231192.5995310345,269948.41556551727
2020,2,11440,16,232191.22641034483,271210.4348758621
2020,2,11440,17,233475.39719655173,272295.5611137931
2020,2,11440,18,232922.63102413795,270254.1277827586
2020,2,11440,19,229687.46655172415,265587.8600172414
2020,2,11440,20,226091.5366862069,260724.8206413793
2020,2,11440,21,221188.83345172412,254229.4868275862
2020,2,11440,22,215239.9654586207,246142.50060689656
2020,2,11440,23,208564.64891034484,239151.2455
2020,2,11470,0,204578.17157931035,226619.7701413793
2020,2,11470,1,205039.12722413795,226805.1531448276
2020,2,11470,2,205391.21373103446,226973.6310862069
2020,2,11470,3,205651.8429413793,227074.80464482756
2020,2,11470,4,205788.0463172414,227106.3649275862
2020,2,11470,5,205138.4309448276,226776.77909999999
2020,2,11470,6,202300.2383310345,226094.0625896552
2020,2,11470,7,195275.08886206895,223232.30664482756
2020,2,11470,8,187019.71876206898,217385.9365241379
2020,2,11470,9,182520.33426896553,214106.5453275862
2020,2,11470,10,180068.08180689655,212485.42866551725
2020,2,11470,11,178324.5967310345,211175.20226206898
2020,2,11470,12,177786.70049655176,210684.03038275862
2020,2,11470,13,177785.2767137931,210639.886
2020,2,11470,14,178089.8161,210844.69555517242
2020,2,11470,15,179081.75941034482,211922.33802413792
2020,2,11470,16,181000.5591137931,213426.9430482759
2020,2,11470,17,184215.31543103448,215506.77831724138
2020,2,11470,18,188984.2567137931,218564.3011724138
2020,2,11470,19,195009.40148965517,222081.6725689655
2020,2,11470,20,198391.45263793104,223282.08484827584
2020,2,11470,21,201382.42001034482,224870.0811862069
2020,2,11470,22,202061.96845862066,224817.63276206897
2020,2,11470,23,203731.1338413793,226083.56735517242
2020,2,11500,0,270568.43230689655,302027.1414103448
2020,2,11500,1,271072.0588551724,302391.6798413793
2020,2,11500,2,271542.4086275862,302691.9735517241
2020,2,11500,3,271813.71726896556,302838.6716344828
2020,2,11500,4,272120.31842413795,302792.5346137931
2020,2,11500,5,272665.3162965517,303188.69961379305
2020,2,11500,6,272060.2366620689,303008.16528275865
2020,2,11500,7,268855.29676896555,300389.5345413793
2020,2,11500,8,261958.95473448277,291950.83478965523
2020,2,11500,9,257678.9214,286536.38033793104
2020,2,11500,10,255422.6495724138,284182.0409896552
